,phrase,count,count_no_rt,date,freq,freq_no_rt,odds,odds_no_rt,rank,rank_no_rt
19,in the open,10.0,10.0,2008-10-02,1.3612307595136758e-06,1.3620597176014346e-06,734629.3,734182.2,52198.5,52161.0
20,in the open,4.0,4.0,2008-10-03,5.345158248755114e-07,5.347853111053385e-07,1870851.9999999995,1869909.2499999995,224873.0,224651.5
21,in the open,14.0,14.0,2008-10-04,1.982965476712691e-06,1.9835321493724393e-06,504295.21428571426,504151.1428571427,31323.5,31317.0
22,in the open,7.0,7.0,2008-10-05,1.0395033549970785e-06,1.0398489426296026e-06,961997.8571428569,961678.142857143,82623.5,82590.5
23,in the open,10.0,10.0,2008-10-06,1.3728799644369174e-06,1.3738407531724729e-06,728395.8,727886.4000000001,52344.0,52300.0
24,in the open,13.0,13.0,2008-10-07,2.03890033635582e-06,2.041331306029637e-06,490460.46153846156,489876.3846153847,31831.0,31788.5
25,in the open,13.0,13.0,2008-10-08,1.8151035041829758e-06,1.8179776453078064e-06,550932.7692307692,550061.7692307694,36050.0,35972.0
26,in the open,3.0,3.0,2008-10-09,4.1157553446855934e-07,4.1223797123953095e-07,2429687.666666666,2425783.333333333,844505.5,843160.0
27,in the open,4.0,4.0,2008-10-10,5.523407787949747e-07,5.533357569439486e-07,1810476.5,1807221.0000000005,291285.0,290411.0
28,in the open,7.0,7.0,2008-10-11,1.0121797029628523e-06,1.0132187411886156e-06,987966.8571428573,986953.7142857143,92098.5,91925.0
29,in the open,4.0,4.0,2008-10-12,5.662615961527053e-07,5.667184930728581e-07,1765968.2500000005,1764544.5,321416.0,320967.0
30,in the open,19.0,19.0,2008-10-13,2.5901547672002976e-06,2.5948053090262896e-06,386077.3157894737,385385.36842105264,21419.5,21374.0
31,in the open,12.0,12.0,2008-10-14,1.640596674073049e-06,1.6448671509338322e-06,609534.3333333334,607951.8333333334,41562.0,41452.5
32,in the open,11.0,11.0,2008-10-15,1.4479628479059826e-06,1.4512656421698744e-06,690625.4545454545,689053.7272727272,46568.0,46379.0
33,in the open,6.0,6.0,2008-10-16,8.134282911444231e-07,8.151308943982983e-07,1229364.6666666667,1226796.8333333333,97219.0,96890.5
34,in the open,8.0,8.0,2008-10-17,1.1068034934038662e-06,1.1088607398429743e-06,903502.7500000001,901826.5,63770.5,63584.0
35,in the open,10.0,10.0,2008-10-18,1.4522438329013392e-06,1.454093469419033e-06,688589.6,687713.7,46325.0,46260.5
36,in the open,13.0,13.0,2008-10-19,1.8630756885963573e-06,1.865392421886334e-06,536746.8461538461,536080.2307692306,33369.5,33311.5
37,in the open,9.0,9.0,2008-10-20,1.2090051539889715e-06,1.2115155359367815e-06,827126.3333333334,825412.4444444445,55572.5,55413.0
